"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"112","Duncan Keith","CHI","D","229","5693.9166666667","17","111","40","71","128","45.71","500","3.40","20.56","1071","675","215","16","8","43","70","31","30","0","1","9","192","88","81","245","388","0","1","0.00"
"458","Jakob Silfverberg","ANA","R","238","4235.1166666667","60","68","39","29","128","69.95","629","9.54","62.78","1101","863","618","261","42","71","70","35","35","0","0","47","120","130","186","384","165","23","57","28.75"
"474","Nick Leddy","NYI","D","242","5465.85","26","102","51","51","128","43.84","411","6.33","23.22","864","591","233","39","8","55","57","27","26","1","0","24","157","87","255","234","300","0","0","-"
"934","Elias Lindholm","CAR","C","235","4243.5","38","90","62","28","128","63.37","480","7.92","54.83","834","673","485","254","25","63","58","29","29","0","0","44","105","138","309","284","129","998","864","53.60"
"647","Ondrej Palat","T.B","L","193","3496.5666666667","44","83","44","39","127","57.73","388","11.34","40.01","686","527","423","187","24","46","65","31","30","1","0","71","118","126","329","331","153","18","55","24.66"
"937","Rasmus Ristolainen","BUF","D","234","6098.4333333333","21","106","50","56","127","42.62","570","3.68","27.23","1108","763","247","44","23","58","139","46","37","5","4","53","154","57","540","418","409","0","0","-"
"98","Frans Nielsen","DET, NYI","C","239","4040.3833333333","53","73","39","34","126","68.11","477","11.11","46.26","834","661","451","189","25","46","44","22","22","0","0","43","81","88","148","297","208","1722","1702","50.29"
"173","Alexander Radulov","DAL, MTL","R","158","3040.5666666667","45","81","57","24","126","64.29","365","12.33","41.22","671","518","395","198","14","44","134","65","65","0","0","47","102","88","153","245","105","12","10","54.55"
"392","Jake Gardiner","TOR","D","243","5241.8666666667","21","105","47","58","126","45.65","382","5.50","19.89","963","599","254","44","15","40","98","49","49","0","0","27","258","116","207","438","253","2","0","100.00"
"126","Dustin Brown","L.A","L, R","243","4212.9833333333","53","72","40","32","125","60.68","615","8.62","57.53","1069","866","572","267","21","66","110","43","39","2","2","79","113","105","613","459","84","27","41","39.71"
"134","Ryan Kesler","ANA","C","205","4083.4333333333","51","74","43","31","125","65.79","429","11.89","62.37","837","661","536","295","24","56","203","80","69","9","2","68","94","74","385","287","205","2409","1809","57.11"
"305","Mathieu Perreault","WPG","C","206","3245.8166666667","39","86","41","45","125","60.10","406","9.61","44.43","706","546","446","211","12","39","104","52","52","0","0","67","71","106","300","169","84","224","227","49.67"
"482","Tomas Tatar","DET, VGK","C, L","245","3912.95","66","59","27","32","125","60.39","506","13.04","50.79","924","720","572","214","23","41","84","39","37","2","0","55","107","109","233","251","71","16","36","30.77"
"720","Ryan Nugent-Hopkins","EDM","C","199","3620.3333333333","54","71","45","26","125","69.06","460","11.74","45.78","793","586","485","203","27","43","67","32","31","1","0","39","105","137","130","201","110","1299","1559","45.45"
"706","Victor Rask","CAR","C","233","3868.8333333333","51","73","29","44","124","60.78","472","10.81","41.65","836","652","404","166","25","55","52","25","25","0","0","27","116","131","137","253","96","1329","1240","51.73"
"315","Alex Killorn","T.B","C, L","244","4171.4833333333","48","75","46","29","123","50.41","487","9.86","48.23","852","685","520","219","25","42","155","73","70","3","0","65","121","96","257","314","73","57","90","38.78"
"330","Kevin Shattenkirk","NYR, STL, WSH","D","198","4142.1333333333","32","91","52","39","123","54.67","435","7.36","22.61","857","590","245","37","12","44","142","61","58","2","1","24","140","97","214","277","273","0","0","-"
"612","Brendan Gallagher","MTL","R","199","3169.5166666667","60","63","36","27","123","62.76","638","9.40","75.82","1079","827","635","363","46","89","97","43","42","1","0","75","66","105","202","383","81","127","158","44.56"
"714","William Karlsson","CBJ, VGK","C","244","3791.2333333333","58","65","33","32","123","65.43","388","14.95","44.97","670","539","426","195","24","36","28","13","13","0","0","35","87","153","123","223","117","1253","1455","46.27"
"1065","Mikko Rantanen","COL","R","165","2970.9666666667","49","73","39","34","122","63.87","320","15.31","34.42","565","446","305","129","16","28","58","29","29","0","0","46","63","95","61","189","84","102","89","53.40"
"265","Nick Foligno","CBJ","L","223","3993.0166666667","53","68","34","34","121","61.11","471","11.25","52.11","732","613","472","281","27","57","156","66","58","8","0","83","95","105","491","235","156","464","542","46.12"
"564","Brock Nelson","NYI","C","244","3755.3","65","55","27","28","120","69.77","476","13.66","47.23","847","614","563","254","25","42","109","52","51","1","0","64","96","125","159","272","150","921","1063","46.42"
"784","Tanner Pearson","L.A","L","241","3757.3333333333","54","66","41","25","120","59.11","504","10.71","56.09","948","738","542","247","32","61","58","26","24","2","0","73","77","77","344","310","101","54","68","44.26"
"1","Jaromir Jagr","CGY, FLA","R","183","3029.9166666667","44","75","45","30","119","63.98","356","12.36","42.31","602","492","424","204","16","39","114","56","56","0","0","34","100","84","53","157","28","1","2","33.33"
"129","Zach Parise","MIN","L","181","3270.5166666667","59","60","36","24","119","68.00","547","10.79","63.07","858","713","594","316","26","84","80","38","38","0","0","55","49","87","143","229","148","13","16","44.83"
"298","Artem Anisimov","CHI","C","213","3743.7833333333","62","56","29","27","118","56.19","356","17.42","46.15","630","471","440","241","21","35","64","32","32","0","0","32","56","81","86","246","107","1339","1641","44.93"
"448","Marcus Johansson","N.J, WSH","L","185","3088.5833333333","46","72","40","32","118","60.82","303","15.18","32.9","502","396","329","143","13","29","40","19","19","0","0","41","108","90","78","270","55","177","203","46.58"
"74","Jason Pominville","BUF, MIN","R","235","3558.9833333333","40","77","39","38","117","65.36","531","7.53","39.46","870","692","376","157","26","59","24","12","12","0","0","26","55","65","114","197","104","109","108","50.23"
"498","Craig Smith","NSH","C, R","239","3538.5","58","59","43","16","117","59.69","583","9.95","60.94","1036","829","625","287","35","59","94","46","46","0","0","42","107","137","237","280","69","167","268","38.39"
"145","David Backes","BOS, STL","R","210","3663.5","52","64","43","21","116","60.42","503","10.34","52.14","796","683","433","222","26","51","205","77","65","9","3","42","80","98","602","316","135","805","752","51.70"
