"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"310","Mark Letestu","CBJ, EDM","C","240","3432.5","35","48","25","23","83","59.29","339","10.32","33.37","608","459","328","130","17","37","37","17","16","1","0","13","73","71","201","104","99","1521","1424","51.65"
"669","Andrew Shaw","CHI, MTL","C, R","197","2982.7833333333","36","47","21","26","83","56.08","374","9.63","43.83","648","504","413","231","15","43","232","79","64","10","5","69","80","68","375","451","85","562","516","52.13"
"815","Chris Tierney","S.J","C","241","3522.4666666667","35","48","32","16","83","65.87","304","11.51","38.41","480","399","335","194","24","28","34","17","17","0","0","57","154","122","100","204","128","1257","1330","48.59"
"1053","Noah Hanifin","CAR","D","239","4355.9","18","65","42","23","83","43.01","395","4.56","20.29","891","559","222","50","11","61","69","33","32","1","0","15","160","134","205","256","220","0","0","-"
"55","Antoine Vermette","ANA, ARI","C","212","3289.75","34","48","25","23","82","55.41","302","11.26","36.32","494","401","274","151","19","39","169","67","62","1","4","38","78","55","144","195","142","2107","1454","59.17"
"645","Ryan Dzingel","OTT","C, L","190","2792.4666666667","40","42","27","15","82","59.42","282","14.18","32.1","487","375","339","170","10","35","76","31","27","4","0","42","61","56","185","162","44","35","55","38.89"
"887","Anthony Duclair","ARI, CHI","L","195","2679.9666666667","36","46","27","19","82","59.42","278","12.95","34.79","506","392","344","168","10","41","79","37","36","1","0","48","48","77","95","243","70","5","6","45.45"
"885","Jake Guentzel","PIT","C","122","1987.3","38","43","29","14","81","72.32","252","15.08","30.56","432","347","299","156","11","34","52","25","25","0","0","30","27","52","203","253","64","73","74","49.66"
"33","Andrei Markov","MTL","D","144","3308.3666666667","11","69","44","25","80","48.78","215","5.12","10.42","510","315","115","15","7","28","54","23","22","0","1","19","162","66","96","154","215","0","0","-"
"339","Riley Nash","BOS, CAR","C","221","3118.5333333333","31","49","27","22","80","72.07","314","9.87","33.08","530","420","339","166","18","39","50","25","25","0","0","41","45","150","211","347","124","928","972","48.84"
"1001","Nick Schmaltz","CHI","C","139","2230.9666666667","27","53","31","22","80","69.57","184","14.67","19.08","345","244","222","89","11","19","24","12","12","0","0","20","53","132","33","161","66","405","668","37.74"
"775","Hampus Lindholm","ANA","D","215","4810.8666666667","29","50","22","28","79","35.91","374","7.75","22.22","797","522","236","47","17","52","110","54","54","0","0","35","191","60","259","421","306","2","0","100.00"
"14","Marian Hossa","CHI","R","137","2335.3333333333","39","39","25","14","78","74.29","358","10.89","37.41","610","457","348","120","19","34","32","16","16","0","0","27","54","91","69","141","69","5","11","31.25"
"796","Jacob Trouba","WPG","D","196","4488.3666666667","17","61","30","31","78","38.24","431","3.94","20.41","883","580","216","51","9","62","150","60","54","4","2","45","181","93","335","234","395","0","1","0.00"
"800","Radek Faksa","DAL","C","204","3056.15","34","44","23","21","78","60.47","318","10.69","36.84","554","453","349","190","24","45","119","48","42","5","1","55","61","101","250","302","151","1343","1357","49.74"
"384","Colin Wilson","COL, NSH","C, L","190","2707.65","24","53","34","19","77","58.78","296","8.11","34.15","477","388","309","171","13","28","38","19","19","0","0","30","64","58","149","234","71","90","99","47.62"
"601","Bryan Rust","PIT","R","167","2397.05","32","45","29","16","77","68.75","301","10.63","33.72","519","424","357","164","20","33","46","23","23","0","0","57","56","59","260","322","92","11","29","27.50"
"792","Tom Wilson","WSH","R","242","3365.85","28","49","29","20","77","56.20","317","8.83","31.65","589","437","343","175","13","36","483","158","118","31","9","143","86","92","742","436","143","36","42","46.15"
"818","Damon Severson","N.J","D","228","4431.6","13","63","35","28","76","41.99","340","3.82","17.58","717","488","163","34","10","36","132","59","55","4","0","40","140","66","252","181","176","0","0","-"
"830","Andreas Athanasiou","DET","C, L","172","2282.6666666667","43","33","17","16","76","71.70","343","12.54","30.4","643","491","337","145","15","20","49","19","16","3","0","55","62","66","71","145","57","196","271","41.97"
"26","Mike Ribeiro","NSH","C","127","2148.0333333333","11","64","29","35","75","60.48","114","9.65","11.23","197","153","121","53","4","9","76","21","17","0","4","16","77","32","94","114","26","471","733","39.12"
"29","Brian Gionta","BOS, BUF","R","181","3023.85","29","46","32","14","75","68.18","360","8.06","31.21","577","474","280","137","17","32","36","18","18","0","0","15","48","64","117","174","72","106","133","44.35"
"191","Alexander Edler","VAN","D","190","4624.2833333333","18","57","26","31","75","38.66","421","4.28","17.63","911","595","199","26","15","28","150","74","74","0","0","26","133","63","347","387","447","3","2","60.00"
"285","Patrik Berglund","STL","C","181","2882.55","50","25","16","9","75","65.22","345","14.49","35.69","586","480","377","162","23","33","78","37","37","0","0","24","43","87","314","162","95","896","864","50.91"
"590","Brett Connolly","BOS, WSH","R","207","2465.95","39","36","25","11","75","55.56","243","16.05","25.26","450","339","283","108","13","27","90","41","40","0","1","23","52","44","298","175","72","32","44","42.11"
"744","Phillip Danault","CHI, MTL","C, L","185","2790.8833333333","25","50","28","22","75","72.12","299","8.36","29.62","500","393","272","155","18","35","83","40","39","1","0","36","67","105","180","297","118","1160","1110","51.10"
"1072","Travis Konecny","PHI","C","151","2193.8166666667","35","40","23","17","75","68.81","310","11.29","30.7","524","419","301","134","21","35","95","39","35","3","1","56","66","57","189","221","79","7","19","26.92"
"4","Shane Doan","ARI","R","146","2380.4","34","40","29","11","74","63.79","315","10.79","32.63","530","427","301","161","15","33","146","50","43","2","5","21","61","59","217","155","37","168","174","49.12"
"5","Jarome Iginla","COL, L.A","R","162","2510.8166666667","36","38","26","12","74","64.35","336","10.71","31.95","605","450","282","121","18","40","111","41","33","7","1","36","48","46","186","135","66","77","68","53.10"
"172","Drew Stafford","BOS, N.J, WPG","R","195","2999.9","37","37","24","13","74","59.20","398","9.30","36.4","610","497","333","157","17","34","60","30","30","0","0","24","76","59","198","178","33","99","105","48.53"
"246","Darren Helm","DET","C, L","202","3096.1833333333","34","40","23","17","74","63.25","404","8.42","36.19","680","537","345","137","30","34","91","42","41","1","0","65","69","77","317","242","80","300","299","50.08"
"253","Anton Stralman","T.B","D","226","5002.35","18","56","25","31","74","31.22","388","4.64","21.32","744","518","177","47","15","49","58","29","29","0","0","27","91","83","309","274","269","0","0","-"
"503","Cody Eakin","DAL, VGK","C","222","3513.9","30","44","27","17","74","56.49","322","9.32","35.32","594","454","348","166","30","30","113","48","44","3","1","35","110","126","226","243","131","1570","1538","50.51"
"586","Zach Hyman","TOR","C","180","3043.4666666667","29","45","31","14","74","55.64","342","8.48","37.34","539","465","384","210","23","41","83","36","34","1","1","55","58","87","257","458","106","84","116","42.00"
"189","Andrej Sekera","EDM","D","197","4075.1666666667","14","59","30","29","73","41.95","319","4.39","16.38","793","458","192","35","12","45","36","18","18","0","0","13","195","86","142","355","364","0","0","-"
"370","Nick Holden","BOS, COL, NYR","D","235","4830.6666666667","21","52","24","28","73","33.18","262","8.02","14.24","616","401","167","36","5","29","73","35","34","1","0","24","126","70","517","387","289","0","1","0.00"
"439","Antoine Roussel","DAL","L","213","2947.1833333333","30","43","30","13","73","61.86","278","10.79","29.67","535","412","307","162","18","32","360","120","90","24","6","115","84","62","296","356","145","44","45","49.44"
"770","Yanni Gourde","T.B","C","104","1646.9333333333","31","42","26","16","73","71.57","166","18.67","19.18","295","233","196","100","14","23","60","27","25","2","0","35","39","64","70","168","46","218","309","41.37"
"208","Jannik Hansen","S.J, VAN","R","156","2345.2","32","40","30","10","72","62.61","244","13.11","22.22","421","343","228","109","20","20","81","31","27","3","1","41","65","71","120","105","53","14","20","41.18"
"258","David Desharnais","EDM, MTL, NYR","C","185","2577.6833333333","23","48","21","27","71","65.14","191","12.04","20.12","313","236","202","105","13","22","50","25","25","0","0","36","60","74","58","184","76","947","889","51.58"
"348","Colton Sceviour","DAL, FLA","C","227","3092.2","31","40","25","15","71","65.14","438","7.08","36.12","704","565","370","182","28","55","70","28","24","4","0","34","82","101","263","261","185","117","123","48.75"
"371","Jason Demers","ARI, DAL, FLA","D","212","4340.6833333333","22","49","26","23","71","38.80","288","7.64","16.61","656","453","175","40","8","38","162","62","55","4","3","20","108","67","258","268","242","0","1","0.00"
"500","Casey Cizikas","NYI","C","203","2680.6666666667","23","48","29","19","71","69.61","240","9.58","24.32","400","311","246","135","26","27","84","39","37","2","0","48","70","127","430","218","173","1362","1334","50.52"
"738","Oscar Klefbom","EDM","D","178","3998.55","21","50","26","24","71","33.49","452","4.65","19.53","901","638","185","28","13","44","30","14","14","0","0","16","141","66","113","312","344","0","0","-"
"1095","Ivan Provorov","PHI","D","164","3782.7333333333","23","48","26","22","71","46.10","364","6.32","18.13","724","483","169","30","10","47","54","25","25","0","0","19","173","49","259","272","335","0","0","-"
"580","Riley Sheahan","DET, PIT","C","242","3539.6166666667","27","43","22","21","70","53.44","346","7.80","34.36","569","471","347","168","18","30","34","16","16","0","0","23","70","74","205","294","128","1154","1127","50.59"
"751","Colin Miller","BOS, VGK","D","185","3214.3333333333","19","51","28","23","70","46.67","321","5.92","16.19","791","501","161","17","15","43","147","57","50","5","2","44","106","60","295","253","136","1","0","100.00"
"846","Connor Brown","TOR","R","171","2664.7833333333","35","35","23","12","70","53.44","269","13.01","28.87","472","384","290","127","19","17","28","14","14","0","0","25","51","89","74","181","76","61","99","38.13"
"1019","Christian Dvorak","ARI","C, L","156","2499.4166666667","30","40","25","15","70","63.64","239","12.55","30.27","406","351","294","175","13","37","44","22","22","0","0","27","40","34","164","201","104","1056","1089","49.23"
"25","Mike Fisher","NSH","C","158","2595.35","33","36","26","10","69","56.56","232","14.22","22.75","404","315","221","108","12","25","92","35","30","4","1","18","38","50","327","113","152","1478","1236","54.46"
"28","Francois Beauchemin","ANA, COL","D","230","4959.2","16","53","22","31","69","36.13","352","4.55","14.15","731","498","139","19","10","34","96","47","47","0","0","18","135","70","253","179","533","0","0","-"
"86","PA Parenteau","N.J, NSH, TOR","R","144","2236.6666666667","33","36","18","18","69","65.09","291","11.34","28.77","486","385","263","120","16","38","103","46","44","1","1","32","58","50","108","159","35","10","28","26.32"
"138","Patrick Eaves","ANA, DAL","R","135","2029.8166666667","44","25","12","13","69","55.20","298","14.77","34.27","528","425","325","155","12","34","51","24","23","1","0","36","30","46","164","111","64","5","11","31.25"
"217","Benoit Pouliot","BUF, EDM","L","196","2836.85","35","34","23","11","69","62.73","269","13.01","27.97","465","380","283","135","12","32","86","43","43","0","0","39","108","106","143","149","98","39","71","35.45"
"270","Erik Johnson","COL","D","181","4304.1","22","47","26","21","69","37.50","439","5.01","19.68","802","567","204","41","19","43","117","43","36","5","2","35","107","89","327","234","430","0","2","0.00"
"329","Justin Braun","S.J","D","242","4998.8333333333","13","56","30","26","69","37.10","324","4.01","12.07","732","480","124","21","8","39","92","46","46","0","0","22","140","105","374","452","453","0","0","-"
"345","Brandon Sutter","VAN","C","162","2938.8166666667","33","36","18","18","69","66.35","311","10.61","30.52","498","421","304","141","23","25","22","11","11","0","0","44","40","65","145","177","95","1504","1328","53.11"
"374","Jay Beagle","WSH","C","217","2886.35","28","41","24","17","69","72.63","239","11.72","27.24","401","341","260","151","15","28","62","31","31","0","0","24","48","56","179","159","112","1578","1164","57.55"
"494","Marcus Foligno","BUF, MIN","L","232","3063.0166666667","31","38","18","20","69","58.97","257","12.06","25.01","437","357","249","136","28","25","224","72","51","18","3","83","69","83","657","254","145","11","17","39.29"
"653","Josh Manson","ANA","D","233","4489.15","17","52","20","32","69","37.30","293","5.80","17.97","575","425","189","56","26","36","218","80","64","14","2","57","168","89","565","351","245","0","1","0.00"
"864","Nate Schmidt","VGK, WSH","D","208","3920.05","10","59","28","31","69","35.20","243","4.12","13.92","578","379","158","36","9","28","48","21","19","2","0","29","143","127","161","208","269","0","1","0.00"
"1111","Derek Ryan","CAR","C","153","2319.4333333333","28","41","21","20","69","63.30","213","13.15","27.58","392","309","258","139","7","33","52","25","25","0","0","18","86","91","87","191","64","957","749","56.10"
"136","Brian Boyle","N.J, T.B, TOR","C","220","2874.9","39","29","18","11","68","54.40","368","10.60","34.48","611","501","361","166","23","24","168","48","34","8","6","37","53","56","356","199","115","1068","1026","51.00"
"388","Tyler Myers","WPG","D","166","3651.6166666667","17","51","25","26","68","41.46","306","5.56","17.48","632","429","176","36","10","42","133","53","48","3","2","28","134","83","134","171","235","0","1","0.00"
"116","Alexandre Burrows","OTT, VAN","L, R","225","3126.4666666667","30","37","19","18","67","62.62","368","8.15","34.62","614","491","328","157","24","32","170","62","54","4","4","53","47","69","214","226","99","23","43","34.85"
"206","Daniel Winnik","MIN, TOR, WSH","L","229","3071.2833333333","24","43","26","17","67","64.42","265","9.06","24.29","450","359","241","108","16","27","114","43","37","4","2","43","49","88","105","277","133","106","134","44.17"
"676","Adam Lowry","WPG","C, L","201","3023.4333333333","30","37","21","16","67","58.26","265","11.32","31.44","426","349","290","166","15","44","113","40","33","5","2","40","46","83","528","238","132","1424","1387","50.66"
"1140","Clayton Keller","ARI","C","85","1521.1","23","44","24","20","67","77.01","212","10.85","21.8","385","303","220","87","8","32","24","12","12","0","0","25","50","43","7","97","28","37","41","47.44"
"52","Niklas Kronwall","DET","D","200","3980.6666666667","9","57","24","33","66","39.29","204","4.41","11.35","432","277","120","19","7","18","98","49","49","0","0","13","98","29","252","185","269","0","0","-"
"105","Johnny Boychuk","NYI","D","194","4035.0666666667","21","45","26","19","66","35.29","461","4.56","18.31","982","674","156","21","19","41","80","34","30","4","0","27","138","49","423","383","385","1","0","100.00"
"272","Trevor Lewis","L.A","C","225","3298.3333333333","34","32","23","9","66","67.35","446","7.62","42.35","743","619","402","201","26","57","75","36","35","1","0","33","48","54","467","404","90","194","282","40.76"
"1002","Robby Fabbri","STL","C","123","1754.75","29","37","20","17","66","70.97","205","14.15","20.52","353","281","236","80","19","17","52","23","21","2","0","34","28","47","115","132","23","19","20","48.72"
"359","Evgenii Dadonov","FLA","R","74","1383.7166666667","28","37","24","13","65","66.33","188","14.89","23.44","363","288","223","96","12","17","8","4","4","0","0","12","45","46","27","74","33","0","0","-"
"811","Devin Shore","DAL","C","167","2460.6","24","41","27","14","65","67.71","239","10.04","33.26","436","347","316","172","10","48","28","14","14","0","0","30","45","57","117","164","128","309","352","46.75"
"992","Kevin Fiala","NSH","L","139","2007.25","35","30","17","13","65","64.36","312","11.22","29.46","556","417","337","139","14","29","44","22","22","0","0","37","86","81","80","123","43","0","5","0.00"
"45","Marian Gaborik","L.A, OTT","R","156","2277.9833333333","33","31","26","5","64","59.81","345","9.57","33.99","595","476","387","146","25","40","62","30","30","0","0","22","62","33","62","119","41","1","3","25.00"
"410","Jori Lehtera","PHI, STL","C","205","2893.65","19","45","19","26","64","47.41","195","9.74","19.2","314","232","198","100","10","13","86","42","42","0","0","36","46","64","162","270","76","979","971","50.21"
"501","David Savard","CBJ","D","220","4691.6666666667","14","50","26","24","64","30.62","402","3.48","17.51","793","571","184","32","9","48","121","54","52","1","1","13","85","60","393","332","380","0","0","-"
"782","Brady Skjei","NYR","D","169","3245.2","9","55","22","33","64","44.14","286","3.15","15.1","529","383","156","39","7","27","85","40","39","1","0","26","116","48","285","224","199","0","1","0.00"
"816","Jordan Martinook","ARI","L","239","3572.5833333333","26","38","28","10","64","64.65","330","7.88","35.51","617","488","359","179","21","55","103","50","49","1","0","42","41","124","230","292","150","517","660","43.93"
"868","Michael Raffl","PHI","L","210","2869.5333333333","34","30","16","14","64","57.66","291","11.68","33.52","504","414","342","188","13","27","78","32","28","4","0","48","63","72","316","411","106","75","83","47.47"
"95","Trevor Daley","CHI, DET, PIT","D","215","4246.9666666667","20","43","18","25","63","31.50","317","6.31","18.32","626","446","184","50","11","32","107","52","51","1","0","26","96","48","95","218","287","0","1","0.00"
"340","Thomas Hickey","NYI","D","207","3657.5333333333","15","48","23","25","63","38.18","229","6.55","11.97","560","360","154","34","8","22","89","43","42","1","0","41","144","48","230","372","303","0","0","-"
"421","Matt Calvert","CBJ","L","207","2894.8666666667","30","33","18","15","63","61.76","314","9.55","32.59","515","415","339","182","20","30","132","48","40","6","2","41","40","87","213","278","115","24","50","32.43"
"836","Josh Anderson","CBJ","R","153","2202.3166666667","37","26","13","13","63","65.63","318","11.64","30.43","533","430","325","159","19","20","133","56","49","7","0","55","37","70","296","187","68","34","57","37.36"
"884","Pavel Buchnevich","NYR","L, R","115","1654.65","22","41","24","17","63","63.64","191","11.52","20.06","376","273","196","88","10","30","33","12","9","3","0","23","65","50","68","118","43","13","40","24.53"
"886","Mattias Janmark","DAL","C","154","2405.6333333333","34","29","21","8","63","60.00","244","13.93","25.56","440","336","278","147","14","26","40","20","20","0","0","18","69","58","19","183","62","165","275","37.50"
"888","Sven Andrighetto","COL, MTL","R","140","1988","22","41","20","21","63","67.74","253","8.70","22.17","459","342","235","95","16","31","28","14","14","0","0","28","37","50","149","145","57","17","22","43.59"
"905","Ryan Hartman","CHI, NSH","L, R","157","2016.8666666667","30","33","22","11","63","70.00","302","9.93","28.31","519","405","295","136","18","30","142","52","45","4","3","66","52","65","239","256","71","119","150","44.24"
"791","Cody Ceci","OTT","D","236","5194.55","17","45","22","23","62","33.33","402","4.23","18.19","834","562","212","45","16","42","50","25","25","0","0","18","155","55","344","396","460","1","0","100.00"
"1055","Kyle Connor","WPG","L","96","1529.35","33","29","14","15","62","68.89","216","15.28","24.95","330","278","228","110","8","24","20","10","10","0","0","13","39","50","19","67","34","3","6","33.33"
"281","Cal Clutterbuck","NYI","R","219","2813.15","28","33","19","14","61","58.10","296","9.46","25.13","518","387","299","115","30","27","103","42","39","1","2","44","67","65","736","281","112","11","20","35.48"
"411","Michael Stone","ARI, CGY","D","221","4326.5666666667","12","49","26","23","61","37.42","340","3.53","13.44","800","532","142","12","12","40","122","61","61","0","0","28","77","35","368","331","444","1","2","33.33"
"890","Oliver Bjorkstrand","CBJ","R","120","1729.65","21","40","23","17","61","67.03","243","8.64","22.68","425","330","234","85","14","31","15","5","4","1","0","26","39","40","87","146","57","2","7","22.22"
"977","Melker Karlsson","S.J","C","203","2677.3333333333","29","31","16","15","60","69.77","245","11.84","28.34","442","360","309","159","15","24","64","32","32","0","0","45","59","65","224","363","176","24","23","51.06"
"1037","Kevin Labanc","S.J","R","132","1857.3666666667","19","41","30","11","60","58.25","226","8.41","20.91","445","330","260","93","10","23","54","27","27","0","0","22","56","44","50","156","37","7","13","35.00"
"1075","Brock Boeser","VAN","R","71","1230.45","33","27","14","13","60","71.43","204","16.18","17.17","379","268","198","63","10","17","16","8","8","0","0","9","32","27","34","51","24","10","29","25.64"
"1083","Anthony Beauvillier","NYI","C, L","137","1890.7833333333","30","30","18","12","60","59.41","233","12.88","21.12","389","305","257","115","13","15","26","13","13","0","0","12","50","43","161","161","55","195","268","42.12"
"47","Ron Hainsey","CAR, PIT, TOR","D","233","5143.6333333333","13","46","22","24","59","30.73","275","4.73","12.02","627","408","145","22","16","38","78","36","34","2","0","20","180","77","269","231","415","0","0","-"
"157","Kyle Brodziak","STL","C","226","2684.9","25","34","17","17","59","66.29","217","11.52","18.09","372","290","182","90","11","19","97","40","36","3","1","28","35","103","189","157","131","1102","1074","50.64"
"478","John Moore","N.J","D","217","4264.45","23","36","16","20","59","35.98","349","6.59","15.47","712","506","136","27","13","36","114","49","46","2","1","16","131","47","296","309","249","0","0","-"
"544","Oscar Lindberg","NYR, VGK","C","196","2273.7666666667","30","29","16","13","59","70.24","281","10.68","23.8","472","385","240","110","13","23","89","42","41","1","0","26","50","49","298","200","99","532","507","51.20"
"991","Nick Ritchie","ANA","L","186","2389.85","26","33","15","18","59","66.29","326","7.98","35.98","597","480","365","197","26","43","171","66","58","5","3","37","49","34","561","207","61","11","17","39.29"
"324","Ian Cole","CBJ, PIT","D","218","4003.1","10","48","22","26","58","33.14","245","4.08","10.2","548","382","115","11","2","26","207","94","89","5","0","43","109","61","381","518","432","0","0","-"
"735","Joel Armia","WPG","R","179","2381.2666666667","26","32","20","12","58","58.59","291","8.93","29.13","512","379","308","147","23","27","54","27","27","0","0","37","48","113","213","135","89","10","14","41.67"
"896","Andrew Copp","WPG","C","223","2532.1666666667","25","33","18","15","58","62.37","228","10.96","22.48","402","307","248","123","10","18","38","19","19","0","0","18","64","59","273","172","97","615","634","49.24"
"106","Jiri Hudler","CGY, DAL, FLA","R","104","1513.8666666667","19","38","22","16","57","69.51","136","13.97","14.5","235","182","146","75","4","19","31","14","13","1","0","20","32","35","37","41","10","14","17","45.16"
"279","Chris Stewart","ANA, CGY, MIN","R","189","2005.3333333333","31","26","17","9","57","69.51","228","13.60","21.88","366","307","204","105","10","22","192","53","30","20","3","44","45","34","205","123","43","8","22","26.67"
"408","Marco Scandella","BUF, MIN","D","226","4725.1166666667","14","42","22","20","56","30.27","352","3.98","14.79","803","515","163","28","13","43","84","39","37","2","0","36","116","75","207","307","304","0","0","-"
"457","Alex Chiasson","CGY, OTT, WSH","R","219","2852.2666666667","29","27","17","10","56","50.91","251","11.55","25","399","325","243","148","21","17","117","44","36","7","1","24","54","87","234","305","75","21","54","28.00"
"711","Matt Nieto","COL, S.J","L","200","2865.5166666667","30","26","13","13","56","65.88","260","11.54","28.1","426","340","265","126","18","22","32","16","16","0","0","30","57","66","101","225","123","8","19","29.63"
"736","Nathan Beaulieu","BUF, MTL","D","197","3499.6333333333","7","49","28","21","56","35.90","259","2.70","10.9","527","361","127","28","7","19","135","42","30","9","3","35","149","39","169","363","256","0","0","-"
"152","Brad Richardson","ARI","C, R","174","2648.65","19","36","20","16","55","67.90","247","7.69","24.88","439","325","264","126","8","43","106","42","36","6","0","35","33","60","148","179","112","1187","1047","53.13"
"787","Olli Maatta","PIT","D","204","3868.8333333333","14","41","21","20","55","30.05","325","4.31","12.04","637","433","139","26","14","32","62","31","31","0","0","20","114","36","284","462","304","0","0","-"
"814","Jimmy Vesey","NYR","L","159","2222.8666666667","33","22","15","7","55","56.70","252","13.10","32.26","454","352","307","176","10","26","46","16","13","2","1","32","80","90","147","138","71","17","22","43.59"
"928","Brett Pesce","CAR","D","216","4392.2833333333","9","46","18","28","55","31.98","282","3.19","12.35","649","424","147","28","16","52","54","27","27","0","0","30","80","136","144","351","332","0","2","0.00"
"709","Markus Granlund","CGY, VAN","C","169","2703.3166666667","33","21","16","5","54","55.67","271","12.18","29.02","482","375","290","144","13","28","36","18","18","0","0","30","37","74","110","146","46","315","437","41.89"
"769","Luke Glendening","DET","C, R","224","3047.25","22","32","20","12","54","67.50","252","8.73","31.89","396","349","256","140","13","18","89","43","42","1","0","49","33","55","430","330","216","1315","1057","55.44"
"66","Dan Hamhuis","DAL, VAN","D","217","4386.5666666667","7","46","21","25","53","32.92","221","3.17","9.76","526","314","148","31","7","25","84","38","36","2","0","29","114","56","239","252","285","0","1","0.00"
"160","Matt Moulson","BUF","L","176","2048.3","22","31","16","15","53","56.99","258","8.53","28.83","410","351","255","150","10","21","28","10","9","0","1","12","28","37","90","76","49","1","8","11.11"
"234","Kris Russell","CGY, DAL, EDM","D","208","4360.65","9","44","16","28","53","32.12","228","3.95","11.92","547","363","141","26","10","23","41","19","18","1","0","29","179","79","204","304","646","0","1","0.00"
"393","Michael Del Zotto","PHI, VAN","D","185","3918.1","16","37","18","19","53","35.81","318","5.03","14.52","645","437","171","42","9","39","92","45","45","0","0","35","128","45","557","221","316","0","1","0.00"
"470","Calvin de Haan","NYI","D","187","3731.85","8","45","24","21","53","31.74","262","3.05","10.35","556","382","113","19","10","28","64","29","27","2","0","22","134","57","312","272","453","0","1","0.00"
"534","Radko Gudas","PHI","D","213","3997.8333333333","13","40","25","15","53","37.59","405","3.21","12.32","896","587","156","15","22","54","292","95","75","12","8","66","147","36","754","403","404","0","0","-"
"729","Jonas Brodin","MIN","D","209","4296.2666666667","11","42","20","22","53","28.49","220","5.00","8.16","489","321","89","11","7","22","68","34","34","0","0","21","74","59","88","249","338","0","0","-"
"1004","Jared McCann","FLA, VAN","C","166","2102.7833333333","19","34","21","13","53","70.67","293","6.48","21.5","489","370","239","88","17","23","66","29","27","2","0","40","62","77","116","119","57","434","743","36.87"
"1040","Ondrej Kase","ANA","R","119","1543.4333333333","25","28","19","9","53","76.81","223","11.21","22.13","384","297","216","97","18","16","32","16","16","0","0","29","64","52","70","141","40","6","27","18.18"
"57","Dominic Moore","BOS, NYR, TOR","C","212","2639.6833333333","23","29","15","14","52","63.41","236","9.75","22.65","385","301","223","100","18","21","92","46","46","0","0","31","81","74","155","220","96","1029","847","54.85"
"101","Matt Stajan","CGY","C","229","2786.55","16","36","22","14","52","65.00","182","8.79","19.31","318","260","200","110","15","18","120","52","50","0","2","36","72","84","211","152","115","1006","1032","49.36"
"389","Joe Colborne","CGY, COL","C","135","1770.4166666667","23","29","19","10","52","65.82","148","15.54","16.6","239","193","170","93","7","17","61","29","28","1","0","22","50","37","208","151","42","130","142","47.79"
"1138","Alex DeBrincat","CHI","R","82","1213.7666666667","28","24","15","9","52","68.42","181","15.47","18.2","358","252","206","54","7","12","6","3","3","0","0","13","25","33","40","102","25","25","34","42.37"
"1172","Nico Hischier","N.J","C","82","1337.3666666667","20","32","21","11","52","65.00","180","11.11","20.41","289","237","190","108","8","23","26","13","13","0","0","35","26","56","56","115","39","422","561","42.93"
"61","Deryk Engelland","CGY, VGK","D","229","4137.15","12","39","21","18","51","32.08","286","4.20","9.51","584","397","115","16","12","27","163","53","39","11","3","38","124","52","366","335","391","1","0","100.00"
"94","Scottie Upshall","STL","R","206","2251.9","23","28","20","8","51","71.83","270","8.52","22.46","445","351","225","97","20","32","135","61","59","1","1","58","37","53","310","207","61","23","38","37.70"
"245","Niklas Hjalmarsson","ARI, CHI","D","202","4375.2666666667","8","43","18","25","51","30.72","170","4.71","9.92","403","240","110","24","6","14","70","35","35","0","0","30","172","70","71","411","450","0","0","-"
"471","Zack Kassian","EDM","R","189","2283.7166666667","17","34","17","17","51","69.86","238","7.14","20.99","383","309","235","132","17","28","307","86","60","15","11","40","87","58","425","175","31","10","29","25.64"
"993","Brendan Perlini","ARI","L","131","1919.65","31","20","10","10","51","56.67","221","14.03","20.41","456","332","244","91","21","18","48","20","19","0","1","15","35","24","125","110","49","6","7","46.15"
"1057","Pavel Zacha","N.J","C","140","2010.0166666667","16","35","24","11","51","64.56","198","8.08","19.47","322","274","211","85","12","17","49","22","21","1","0","22","60","55","125","107","46","505","686","42.40"
"44","Mark Streit","MTL, PHI, PIT","D","132","2657.75","12","38","12","26","50","45.05","227","5.29","12.84","453","314","95","26","2","28","46","23","23","0","0","19","80","30","68","163","182","0","0","-"
"196","Ryan Callahan","T.B","R","158","2405.45","17","33","18","15","50","56.18","282","6.03","25.8","505","409","284","117","16","21","97","36","30","5","1","54","49","67","350","172","124","53","58","47.75"
"257","Dan Girardi","NYR, T.B","D","214","4045.8666666667","12","38","12","26","50","28.90","226","5.31","9.1","444","314","91","20","8","28","63","29","28","1","0","24","129","48","408","330","516","0","1","0.00"
"417","Dale Weise","CHI, MTL, PHI","R","181","2263.2166666667","26","24","15","9","50","57.47","274","9.49","23.66","433","348","259","118","12","23","84","31","26","4","1","38","38","44","339","259","64","20","20","50.00"
"487","Brandon Pirri","ANA, FLA, NYR, VGK","C, R","123","1657.3666666667","25","25","16","9","50","60.98","235","10.64","22.47","487","352","214","66","12","24","55","26","25","1","0","26","53","44","109","121","34","207","181","53.35"
"568","Devante Smith-Pelly","MTL, N.J, WSH","R","192","2428.7166666667","25","25","14","11","50","68.49","273","9.16","26.09","456","380","263","134","13","18","80","33","30","2","1","38","50","40","350","239","117","47","62","43.12"
